"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2024","159.81","159.55","159.94","159.31","","0.09%"
"02/20/2024","159.66","159.71","160.00","159.29","","-0.13%"
"02/19/2024","159.86","159.54","159.92","159.28","","0.04%"
"02/16/2024","159.80","159.43","160.24","159.28","","0.47%"
"02/15/2024","159.05","158.09","159.27","158.09","","0.74%"
"02/14/2024","157.88","157.03","157.98","157.03","","0.51%"
"02/13/2024","157.08","158.73","158.73","156.57","","-1.06%"
"02/12/2024","158.77","158.18","158.80","158.18","","0.60%"
"02/09/2024","157.82","157.84","158.10","157.32","","0.13%"
"02/08/2024","157.61","157.34","157.98","157.14","","0.32%"
"02/07/2024","157.11","157.33","157.49","156.87","","-0.09%"
"02/06/2024","157.25","156.79","157.35","156.29","","0.63%"
"02/05/2024","156.27","156.32","156.71","155.89","","0.03%"
"02/02/2024","156.22","156.46","157.32","156.16","","0.08%"
"02/01/2024","156.09","156.35","156.58","155.64","","-0.24%"
"01/31/2024","156.46","156.49","157.00","156.14","","0.19%"
"01/30/2024","156.17","156.03","156.37","155.85","","0.33%"
"01/29/2024","155.66","155.59","155.67","155.07","","0.06%"
"01/26/2024","155.56","153.91","155.70","153.91","","0.88%"
"01/25/2024","154.20","153.64","154.24","153.01","","0.33%"
"01/24/2024","153.69","151.82","153.84","151.82","","1.50%"
"01/23/2024","151.42","151.99","152.28","151.11","","-0.26%"
"01/22/2024","151.82","151.06","152.19","151.06","","0.73%"
"01/19/2024","150.72","151.32","151.75","150.42","","-0.15%"
"01/18/2024","150.95","149.87","151.07","149.74","","0.87%"
"01/17/2024","149.65","150.39","150.39","148.83","","-1.01%"
"01/16/2024","151.17","151.26","151.26","150.37","","-0.28%"
"01/15/2024","151.60","152.53","152.70","151.45","","-0.51%"
"01/12/2024","152.37","151.40","152.76","151.40","","0.77%"
"01/11/2024","151.20","152.48","153.38","151.16","","-0.60%"
"01/10/2024","152.12","152.01","152.50","151.76","","0.03%"
"01/09/2024","152.07","152.58","152.66","151.47","","-0.28%"
"01/08/2024","152.50","151.58","152.53","150.82","","0.44%"
"01/05/2024","151.83","151.84","152.12","150.51","","-0.28%"
"01/04/2024","152.25","151.18","152.32","151.09","","0.79%"
"01/03/2024","151.06","153.07","153.09","150.59","","-1.30%"
"01/02/2024","153.05","153.49","154.69","152.22","","-0.13%"
"01/01/2024","153.25","153.25","153.25","153.25","","0.00%"
