"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|DK1","58.75","36.38","20.71","8.21"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|DK1","62.46","45.33","18.96","27.79"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|DK1","68.54","58.33","47.38","55.19"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|DK1","71.63","72.29","86.17","70.19"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|DK1","80.75","78.46","85.50","61.23"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|DK1","99.83","85.21","76.67","83.43"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|DK1","117.58","104.38","106.54","123.06"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|DK1","143.21","135.79","175.54","202.95"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|DK1","174.08","175.63","272.75","283.33"
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|DK1","186.54","207.75","332.38","354.96"
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|DK1","243.38","261.71","481.04","451.61"
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|DK1","338.08","326.04","567.08","505.44"
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|DK1","401.04","388.46","577.38","586.97"
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|DK1","403.75","432.71","673.17","693.27"
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|DK1","414.67","424.50","710.71","713.57"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|DK1","542.25","699.71","699.71","645.64"
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|DK1","495.17","617.96","617.96","575.27"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|DK1","446.92","560.96","560.96","504.76"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|DK1","413.83","485.54","485.54","440.31"
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|DK1","362.96","365.33","365.33","307.68"
