"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|DK1","0.41","0.37","2.36","0.36"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|DK1","0.04","0.04","0.00","0.00"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|DK1","0.02","0.02","0.02","0.00"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|DK1","0.05","0.05","0.05","0.00"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|DK1","0.45","0.39","0.39","0.66"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|DK1","8.28","7.27","6.89","33.72"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|DK1","29.21","26.09","73.22","143.97"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|DK1","49.61","45.01","162.28","234.19"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|DK1","59.18","53.23","194.86","265.25"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|DK1","54.60","49.59","177.68","243.30"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|DK1","35.05","31.75","115.39","159.32"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|DK1","9.34","8.26","38.42","49.40"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|DK1","0.47","0.42","4.05","1.88"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|DK1","0.04","0.04","0.00","0.00"
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|DK1","0.02","0.02","0.02","0.00"
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|DK1","0.05","0.05","0.05","0.00"
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|DK1","0.62","0.66","0.66","0.50"
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|DK1","11.34","12.12","11.72","56.22"
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|DK1","38.57","40.65","117.38","196.82"
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|DK1","65.57","66.79","209.11","330.11"
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|DK1","76.91","77.63","284.95","375.37"
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|DK1","69.95","70.08","245.23","353.13"
