"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"08/01/2016 14:00:00 - 08/01/2016 15:00:00","BZN|DK1","410.79","n/e"," ","483.47"
"08/01/2016 15:00:00 - 08/01/2016 16:00:00","BZN|DK1","328.88","n/e"," ","417.90"
"08/01/2016 16:00:00 - 08/01/2016 17:00:00","BZN|DK1","249.75","n/e"," ","358.65"
"08/01/2016 17:00:00 - 08/01/2016 18:00:00","BZN|DK1","190.21","n/e"," ","282.85"
"08/01/2016 18:00:00 - 08/01/2016 19:00:00","BZN|DK1","146.92","n/e"," ","214.02"
"08/01/2016 19:00:00 - 08/01/2016 20:00:00","BZN|DK1","127.92","n/e"," ","164.18"
"08/01/2016 20:00:00 - 08/01/2016 21:00:00","BZN|DK1","124.17","n/e"," ","134.73"
"08/01/2016 21:00:00 - 08/01/2016 22:00:00","BZN|DK1","137.25","n/e"," ","89.87"
"08/01/2016 22:00:00 - 08/01/2016 23:00:00","BZN|DK1","139.67","n/e"," ","96.84"
"08/01/2016 23:00:00 - 09/01/2016 00:00:00","BZN|DK1","138.00","n/e"," ","169.39"
"09/01/2016 00:00:00 - 09/01/2016 01:00:00","BZN|DK1","215.96","n/e"," ","259.06"
"09/01/2016 01:00:00 - 09/01/2016 02:00:00","BZN|DK1","252.63","n/e"," ","345.90"
"09/01/2016 02:00:00 - 09/01/2016 03:00:00","BZN|DK1","276.33","n/e"," ","337.73"
"09/01/2016 03:00:00 - 09/01/2016 04:00:00","BZN|DK1","301.50","n/e"," ","254.50"
"09/01/2016 04:00:00 - 09/01/2016 05:00:00","BZN|DK1","323.63","n/e"," ","166.82"
"09/01/2016 05:00:00 - 09/01/2016 06:00:00","BZN|DK1","342.42","n/e"," ","241.48"
"09/01/2016 06:00:00 - 09/01/2016 07:00:00","BZN|DK1","371.17","n/e"," ","272.10"
"09/01/2016 07:00:00 - 09/01/2016 08:00:00","BZN|DK1","395.13","n/e"," ","346.70"
"09/01/2016 08:00:00 - 09/01/2016 09:00:00","BZN|DK1","418.21","n/e"," ","319.90"
"09/01/2016 09:00:00 - 09/01/2016 10:00:00","BZN|DK1","453.04","n/e"," ","303.15"
"09/01/2016 10:00:00 - 09/01/2016 11:00:00","BZN|DK1","480.54","n/e"," ","350.33"
"09/01/2016 11:00:00 - 09/01/2016 12:00:00","BZN|DK1","495.42","n/e"," ","380.72"
"09/01/2016 12:00:00 - 09/01/2016 13:00:00","BZN|DK1","506.04","n/e"," ","370.62"
"09/01/2016 13:00:00 - 09/01/2016 14:00:00","BZN|DK1","518.96","n/e"," ","253.27"
"09/01/2016 14:00:00 - 09/01/2016 15:00:00","BZN|DK1","524.38","n/e"," ","250.76"
"09/01/2016 15:00:00 - 09/01/2016 16:00:00","BZN|DK1","544.21","n/e"," ","291.80"
"09/01/2016 16:00:00 - 09/01/2016 17:00:00","BZN|DK1","582.29","n/e"," ","325.62"
"09/01/2016 17:00:00 - 09/01/2016 18:00:00","BZN|DK1","621.00","n/e"," ","398.96"
"09/01/2016 18:00:00 - 09/01/2016 19:00:00","BZN|DK1","650.83","n/e"," ","489.22"
"09/01/2016 19:00:00 - 09/01/2016 20:00:00","BZN|DK1","672.29","n/e"," ","552.63"
"09/01/2016 20:00:00 - 09/01/2016 21:00:00","BZN|DK1","687.50","n/e"," ","541.07"
"09/01/2016 21:00:00 - 09/01/2016 22:00:00","BZN|DK1","694.92","n/e"," ","550.88"
"09/01/2016 22:00:00 - 09/01/2016 23:00:00","BZN|DK1","697.75","n/e"," ","503.32"
"09/01/2016 23:00:00 - 10/01/2016 00:00:00","BZN|DK1","697.04","n/e"," ","650.73"
"10/01/2016 00:00:00 - 10/01/2016 01:00:00","BZN|DK1","603.58","n/e"," ","729.79"
"10/01/2016 01:00:00 - 10/01/2016 02:00:00","BZN|DK1","638.96","n/e"," ","740.25"
"10/01/2016 02:00:00 - 10/01/2016 03:00:00","BZN|DK1","666.50","n/e"," ","750.37"
"10/01/2016 03:00:00 - 10/01/2016 04:00:00","BZN|DK1","683.25","n/e"," ","758.43"
"10/01/2016 04:00:00 - 10/01/2016 05:00:00","BZN|DK1","694.42","n/e"," ","762.76"
"10/01/2016 05:00:00 - 10/01/2016 06:00:00","BZN|DK1","701.92","n/e"," ","769.79"
"10/01/2016 06:00:00 - 10/01/2016 07:00:00","BZN|DK1","705.71","n/e"," ","771.32"
"10/01/2016 07:00:00 - 10/01/2016 08:00:00","BZN|DK1","706.21","n/e"," ","771.31"
"10/01/2016 08:00:00 - 10/01/2016 09:00:00","BZN|DK1","706.96","n/e"," ","773.58"
"10/01/2016 09:00:00 - 10/01/2016 10:00:00","BZN|DK1","705.88","n/e"," ","773.98"
"10/01/2016 10:00:00 - 10/01/2016 11:00:00","BZN|DK1","701.96","n/e"," ","774.29"
"10/01/2016 11:00:00 - 10/01/2016 12:00:00","BZN|DK1","688.38","n/e"," ","773.84"
"10/01/2016 12:00:00 - 10/01/2016 13:00:00","BZN|DK1","671.21","n/e"," ","761.92"
"10/01/2016 13:00:00 - 10/01/2016 14:00:00","BZN|DK1","667.04","n/e"," ","683.97"
"10/01/2016 14:00:00 - 10/01/2016 15:00:00","BZN|DK1","669.54","n/e"," ","670.26"
"10/01/2016 15:00:00 - 10/01/2016 16:00:00","BZN|DK1","670.67","n/e"," ","711.39"
"10/01/2016 16:00:00 - 10/01/2016 17:00:00","BZN|DK1","674.83","n/e"," ","706.03"
"10/01/2016 17:00:00 - 10/01/2016 18:00:00","BZN|DK1","662.21","n/e"," ","658.74"
"10/01/2016 18:00:00 - 10/01/2016 19:00:00","BZN|DK1","633.00","n/e"," ","498.11"
"10/01/2016 19:00:00 - 10/01/2016 20:00:00","BZN|DK1","585.25","n/e"," ","363.05"
"10/01/2016 20:00:00 - 10/01/2016 21:00:00","BZN|DK1","515.54","n/e"," ","239.57"
"10/01/2016 21:00:00 - 10/01/2016 22:00:00","BZN|DK1","437.67","n/e"," ","244.16"
"10/01/2016 22:00:00 - 10/01/2016 23:00:00","BZN|DK1","404.96","n/e"," ","191.95"
